customer_id,total_spent,customer_category
217,13634.16,Silver
89,12916.169999999996,Silver
202,11669.310000000001,Silver
86,10911.269999999999,Silver
227,10500.2,Silver
184,10066.24,Silver
129,9843.44,Bronze
203,9629.84,Bronze
34,9413.420000000002,Bronze
247,9151.67,Bronze
192,8729.070000000002,Bronze
276,8698.3,Bronze
104,8667.11,Bronze
154,8570.93,Bronze
294,8262.18,Bronze
68,8154.98,Bronze
49,8027.87,Bronze
282,7983.23,Bronze
127,7904.99,Bronze
190,7810.099999999999,Bronze
168,7777.1,Bronze
136,7770.790000000001,Bronze
231,7576.98,Bronze
51,7549.009999999999,Bronze
220,7521.419999999999,Bronze
133,7514.8499999999985,Bronze
83,7441.650000000001,Bronze
199,7385.639999999999,Bronze
214,7321.33,Bronze
195,7293.9,Bronze
148,7233.2,Bronze
235,7138.47,Bronze
167,7063.31,Bronze
88,6976.289999999999,Bronze
6,6953.28,Bronze
77,6936.75,Bronze
28,6907.93,Bronze
204,6877.459999999999,Bronze
106,6857.5,Bronze
197,6717.07,Bronze
20,6692.880000000001,Bronze
71,6654.360000000001,Bronze
31,6643.139999999999,Bronze
142,6633.9,Bronze
82,6629.96,Bronze
140,6624.5599999999995,Bronze
137,6622.7,Bronze
170,6581.679999999999,Bronze
267,6575.959999999999,Bronze
23,6558.469999999999,Bronze
292,6550.260000000001,Bronze
243,6463.8,Bronze
43,6422.620000000001,Bronze
123,6326.280000000001,Bronze
147,6270.960000000001,Bronze
160,6258.84,Bronze
229,6216.450000000001,Bronze
290,6197.81,Bronze
212,6160.030000000001,Bronze
244,6151.83,Bronze
36,5985.87,Bronze
183,5921.39,Bronze
274,5893.57,Bronze
155,5877.48,Bronze
45,5837.740000000001,Bronze
85,5770.7,Bronze
208,5710.740000000001,Bronze
118,5580.3099999999995,Bronze
16,5574.12,Bronze
299,5542.25,Bronze
218,5538.530000000001,Bronze
185,5535.639999999999,Bronze
40,5518.25,Bronze
300,5500.61,Bronze
207,5494.17,Bronze
182,5479.959999999999,Bronze
152,5470.66,Bronze
172,5386.32,Bronze
75,5348.52,Bronze
42,5299.52,Bronze
206,5277.26,Bronze
260,5240.45,Bronze
39,5119.02,Bronze
265,5118.77,Bronze
125,5014.4,Bronze
149,4973.2,Bronze
281,4958.45,Bronze
228,4932.879999999999,Bronze
254,4913.889999999999,Bronze
29,4883.3099999999995,Bronze
62,4861.889999999999,Bronze
87,4836.6900000000005,Bronze
58,4775.08,Bronze
242,4719.16,Bronze
198,4707.0599999999995,Bronze
246,4699.76,Bronze
27,4658.17,Bronze
177,4585.749999999999,Bronze
196,4543.59,Bronze
270,4539.179999999999,Bronze
163,4484.95,Bronze
262,4465.580000000001,Bronze
210,4426.65,Bronze
44,4425.91,Bronze
162,4396.08,Bronze
216,4393.03,Bronze
189,4333.58,Bronze
3,4302.86,Bronze
53,4217.0599999999995,Bronze
2,4212.01,Bronze
278,4164.179999999999,Bronze
120,4155.29,Bronze
179,4137.25,Bronze
293,4054.7799999999997,Bronze
156,4053.8,Bronze
295,4034.43,Bronze
54,4033.71,Bronze
193,4027.11,Bronze
95,4022.0699999999997,Bronze
157,4006.65,Bronze
261,3992.08,Bronze
250,3988.09,Bronze
256,3959.04,Bronze
249,3944.37,Bronze
187,3934.29,Bronze
273,3913.8300000000004,Bronze
275,3900.6299999999997,Bronze
25,3898.8,Bronze
296,3885.2,Bronze
269,3885.09,Bronze
139,3880.6100000000006,Bronze
4,3879.36,Bronze
191,3831.27,Bronze
124,3828.0199999999995,Bronze
291,3819.67,Bronze
55,3802.88,Bronze
138,3800.34,Bronze
19,3782.8,Bronze
108,3773.2400000000002,Bronze
237,3762.89,Bronze
169,3754.2799999999997,Bronze
67,3750.22,Bronze
233,3730.29,Bronze
102,3666.29,Bronze
52,3641.58,Bronze
21,3634.09,Bronze
287,3628.1099999999997,Bronze
81,3621.74,Bronze
8,3613.42,Bronze
130,3601.9700000000003,Bronze
224,3594.84,Bronze
205,3550.62,Bronze
103,3550.51,Bronze
239,3519.9900000000002,Bronze
114,3508.66,Bronze
24,3506.19,Bronze
26,3496.8,Bronze
13,3458.83,Bronze
263,3437.35,Bronze
266,3436.23,Bronze
251,3429.0699999999997,Bronze
171,3383.91,Bronze
180,3379.72,Bronze
194,3378.23,Bronze
213,3376.4300000000003,Bronze
